author,title,description,url,urlToImage,publishedAt,content,id,name,search_date
"Javier Bastardo, Contributor, 
 Javier Bastardo, Contributor
 https://www.forbes.com/sites/javierbastardo/",FBI Arrests Hacker Behind SEC X Account Fake Bitcoin ETF Announcement,"The FBI arrested Eric Council Jr. who used the SEC's X account to post a fake BTC ETF approval in January, causing a price surge.",https://www.forbes.com/sites/digital-assets/2024/10/18/fbi-arrests-hacker-behind-sec-x-account-fake-bitcoin-etf-announcement/,https://imageio.forbes.com/specials-images/imageserve/64bd27d11229b1f5dfd98952/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-18T07:58:36Z,WASHINGTON - APRIL 28: Commodity Futures Trading Commission (CFTC) Gary Gensler testifies during a ... [+] hearing before the Financial Services and General Government Subcommittee of Senate Appropri… [+3162 chars],,Forbes,2024-10-20 14:44:15.540950
"John Tamny, Contributor, 
 John Tamny, Contributor
 https://www.forbes.com/sites/johntamny/",Book Review: Andrew Chow’s “Cryptomania”,"Speculation is no way for the vast majority of us to make a living, but working is.",https://www.forbes.com/sites/johntamny/2024/10/17/book-review-andrew-chows-cryptomania/,https://imageio.forbes.com/specials-images/imageserve/671110df39fd8ad6105dbb7f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T19:00:45Z,"SAN FRANCISCO, CA - MAY 20, 2013: A shelf filled with books, including a 'staff pick' by Cormac ... [+] McCarthy, at the City Lights Bookstore, an independent bookstore founded in 1953 by poet Lawren… [+15343 chars]",,Forbes,2024-10-20 14:44:15.540950
"John Tamny, Contributor, 
 John Tamny, Contributor
 https://www.forbes.com/sites/johntamny/",The Growing Political Potency Of The ‘Crypto Voter Bloc’,Most market advances take us by surprise.,https://www.forbes.com/sites/johntamny/2024/10/17/the-growing-political-potency-of-the-crypto-voter-bloc/,https://imageio.forbes.com/specials-images/imageserve/61b230cc5537d43fbfa8bb3c/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T14:00:49Z,"PARIS, FRANCE - FEBRUARY 16: In this photo illustration, a visual representation of digital ... [+] cryptocurrencies, Bitcoin, Ripple, Ethernum, Dash, Monero and Litecoin is displayed on February 16,… [+3510 chars]",,Forbes,2024-10-20 14:44:15.540950
"Derek Saul, Forbes Staff, 
 Derek Saul, Forbes Staff
 https://www.forbes.com/sites/dereksaul/",Trump’s Polymarket Odds Top 60%: How Election Betting Markets Differ From Polls,"In October, Trump’s market-implied odds of a second presidency have increased from 48% to 57%.",https://www.forbes.com/sites/dereksaul/2024/10/17/trumps-polymarket-odds-top-60-how-election-betting-markets-differ-from-polls/,"https://imageio.forbes.com/specials-images/imageserve/67117d47b9ab0ab396cf6336/0x0.jpg?format=jpg&crop=3234,1817,x0,y7,safe&height=900&width=1600&fit=bounds",2024-10-17T21:15:15Z,"Betting markets moved further Thursday toward predicting a former President Donald Trump win, the latest evidence of money flowing into bets supporting another Trump presidency, though polling data p… [+3414 chars]",,Forbes,2024-10-20 14:44:15.540950
"Derek Newton, Contributor, 
 Derek Newton, Contributor
 https://www.forbes.com/sites/dereknewton/","Report: For Traditional Online College Managers, The Party Is Over",A new report from Validated Insights shows that the traditional market for online program management companies (OMPI) is in freefall.,https://www.forbes.com/sites/dereknewton/2024/10/17/report-for-traditional-online-college-managers-the-party-is-over/,https://imageio.forbes.com/specials-images/imageserve/67113cf8fb5c54e92529e010/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T16:37:28Z,"LAS VEGAS, NEVADA - SEPTEMBER 01: Professor of physics and astronomy Dr. Jason Steffen is seen on ... [+] his computer screen as he teaches a remote Physics for Scientists and Engineers course at UNL… [+5771 chars]",,Forbes,2024-10-20 14:44:15.540950
"Gene A. Grant II, Contributor, 
 Gene A. Grant II, Contributor
 https://www.forbes.com/sites/genegrant/","Fintech Banking Deposits Can Be Lost, It Is Not Only A Crypto Problem","Fintech companies that provide banking-like products are a hidden risk to customers, and for the most part, customers appear oblivious to the risks",https://www.forbes.com/sites/digital-assets/2024/10/18/fintech-banking-deposits-can-be-lost-it-is-not-only-a-crypto-problem/,https://imageio.forbes.com/specials-images/imageserve/67115a435024af0b7473a959/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-18T14:15:00Z,"Losing access to funds can be a shock for customers of financial technology firms. 
getty
The news media has extensively covered the crash and burn trajectories of some of the leading crypto compan… [+9125 chars]",,Forbes,2024-10-20 14:44:15.540950
"Tonya Evans, Contributor, 
 Tonya Evans, Contributor
 https://www.forbes.com/sites/tonyaevans/",Crypto Battle For Black Men: Can Harris Outmaneuver Trump’s Strategy?,Can Kamala Harris's crypto agenda empower Black men and counter Trump’s appeal? Explore the battle for economic equity in the digital age in this in-depth analysis.,https://www.forbes.com/sites/tonyaevans/2024/10/15/crypto-battle-for-black-men-can-harris-outmaneuver-trumps-strategy/,https://imageio.forbes.com/specials-images/imageserve/670ec15dcb67f492e7ead605/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-15T19:38:47Z,"US Vice President Kamala Harris speaks during a conversation with Steve Harvey at the 38th Annual ... [+] 100 Black Men in America Conference on June 14, 2024 in Atlanta, Georgia. (Photo by Elijah No… [+11750 chars]",,Forbes,2024-10-20 14:44:15.540950
"Derek Saul, Forbes Staff, 
 Derek Saul, Forbes Staff
 https://www.forbes.com/sites/dereksaul/","Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Tyler Perry, Bill Ackman Weigh In (Update)","The likes of Jeff Bezos and Bill Gates have shied away from offering endorsements like their ultrarich counterpart Elon Musk, but they have shared some thoughts about the two candidates.",https://www.forbes.com/sites/dereksaul/2024/10/16/kamala-harris-has-more-billionaires-prominently-backing-her-than-trump-tyler-perry-bill-ackman-weigh-in-update/,https://imageio.forbes.com/specials-images/imageserve/67095c59ce26ec99f236e2eb/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-16T13:55:01Z,"Forbes found at least 100 billionaires in the corners of either former President Donald Trump or Vice President Kamala Harriswith many more backing Harrisbut unlike the worlds richest man Elon Musk, … [+12758 chars]",,Forbes,2024-10-20 14:44:15.540950
HDblog.it,"Bitcoin e crypto, Governo punta ad aumentare la tassazione al 42%",Lo ha annunciato alla stampa il viceministro Leo,https://www.hdblog.it/mercato/articoli/n596371/bitcoin-crypto-plusvalenze-aumento-tasse/,https://hd2.tudocdn.net/1065167?w=1920,2024-10-16T15:50:00Z,"""Un tema importante riguarda le plusvalenze da bitcoin, per cui prevediamo un aumento della ritenuta dal 26% al 42%"". È una frase pronunciata dal viceministro dell'economia e delle finanze Maurizio L… [+1856 chars]",,Hdblog.it,2024-10-20 14:44:15.540950
noreply@blogger.com (Chema Alonso),Tu Wallet: Gestiona tus criptomonedas con Bit2Me y úsalas con una tarjeta de crédito virtual en la nueva Tu Wallet,"Ayer tuvo lugar por la tarde nuestro Innovation Day 2024
, donde hablamos de muchas cosas en las que hemos estado trabajando este año. Latch, VerifAI, Metashield, Quantum Drop, Living App de Perplexity, Movistar Home Connect, Quantum Comms, OpenGateway... y …",https://www.elladodelmal.com/2024/10/tu-wallet-gestiona-tus-criptomonedas.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjzJTb91ern4j1Oc21JHdcbgrzT28vDq4U4ExH1q1zTmMmoxJRB4zIRImqq86DpmBJP8SClZx5uQLYFyMKZmmwX_7m_DnFvxvwtolJEwxjCTeZ-67rKSLB7bISV4JOTwmGQBWKhCnfKy3wwbjF2PVKrELL-wUWAtPhBm1OsVodz59mMLFFibuXk/w1200-h630-p-k-no-nu/tuWallet1.jpg,2024-10-18T06:27:00Z,"Ayer tuvo lugar por la tarde nuestro Innovation Day 2024
, donde hablamos de muchas cosas en las que hemos estado trabajando este año. Latch, VerifAI, Metashield, Quantum Drop, Living App de Perplex… [+2195 chars]",,Elladodelmal.com,2024-10-20 14:44:15.540950
Cliente,1xBet: tudo sobre a plataforma de cassino e apostas esportivas,"✅ A 1xbet casino é confiável? Leia a análise e tenha acesso a bônus imperdíveis e uma ampla seleção de jogos de cassino
O post 1xBet: tudo sobre a plataforma de cassino e apostas esportivas apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2024/10/17/internet-e-redes-sociais/1xbet-tudo-sobre-a-plataforma-de-cassino-e-apostas-esportivas/,https://olhardigital.com.br/wp-content/uploads/2024/10/olhardigital-1xbet.png,2024-10-17T16:36:37Z,"O 1xBet é um dos mais famosos sites de apostas que nós brasileiros temos por aqui. Por ser um cassino online e também uma casa de apostas, sua jogabilidade é muito conveniente. Mas será que o serviço… [+39286 chars]",,Olhardigital.com.br,2024-10-20 14:44:15.540950
news.google.com,Hacker arrested for the fake SEC tweet that caused a Bitcoin price spike,"Hacker arrested for the fake SEC tweet that caused a Bitcoin price spike The Verge
FBI arrests Alabama man for SEC X hack that spiked price of bitcoin CNBC
Alabama man allegedly hacked SEC’s X account, causing bitcoin value to soar with fake post AL.com
Arres…",https://biztoc.com/x/9ceff82e873d19fa,https://biztoc.com/cdn/805/og.png,2024-10-17T18:36:03Z,"Hacker arrested for the fake SEC tweet that caused a Bitcoin price spike The VergeFBI arrests Alabama man for SEC X hack that spiked price of bitcoin CNBCAlabama man allegedly hacked SECs X account, … [+152 chars]",,Biztoc.com,2024-10-20 14:44:15.540950
zerohedge.com,"Bullion, Bitcoin, & Banks Soar As 'Trump Trade' Dominates Data This Week","Bullion, Bitcoin, & Banks Soar As 'Trump Trade' Dominates Data This Week
 
A dip in 'soft' data was overwhelmed by a resurgence in 'hard' data this week...
Source: Bloomberg
...and that 'no landing' narrative-builder pushed rate-cut expectations down for 2024…",https://biztoc.com/x/5a369a4585b2eef2,https://biztoc.com/cdn/5a369a4585b2eef2_s.webp,2024-10-18T20:10:05Z,"Bullion, Bitcoin, &amp; Banks Soar As 'Trump Trade' Dominates Data This Week
A dip in 'soft' data was overwhelmed by a resurgence in 'hard' data this week...Source: Bloomberg...and that 'no landing'… [+145 chars]",,Biztoc.com,2024-10-20 14:44:15.540950
news.google.com,Trump-backed platform’s crypto token sale flatlines at $10M amid site jitters,"Trump-backed platform’s crypto token sale flatlines at $10M amid site jitters Cointelegraph
Trump’s Scammy Crypto Company Is Already a Disaster New York Magazine
Trump promotes family’s cryptocurrency tokens The Hill
Donald Trump's Crypto Coin Has a Massive D…",https://biztoc.com/x/aecdfcccc321ac88,https://biztoc.com/cdn/805/og.png,2024-10-16T22:19:46Z,Trump-backed platforms crypto token sale flatlines at $10M amid site jitters CointelegraphTrumps Scammy Crypto Company Is Already a Disaster New York MagazineTrump promotes familys cryptocurrency tok… [+144 chars],,Biztoc.com,2024-10-20 14:44:15.540950
coindesk.com,"Bitcoin Jumps to Just Shy of $68K, Highest Since Late July","Digital assets are finally beginning to pay attention to not just the growing chance of a Trump victory in November, but also a GOP sweep, said Standard Chartered's Geoff Kendrick.",https://biztoc.com/x/e0461205fabdbac3,https://biztoc.com/cdn/e0461205fabdbac3_s.webp,2024-10-15T14:36:22Z,"Digital assets are finally beginning to pay attention to not just the growing chance of a Trump victory in November, but also a GOP sweep, said Standard Chartered's Geoff Kendrick.
This story appear… [+39 chars]",,Biztoc.com,2024-10-20 14:44:15.540950
Chiara Brusini,"Manovra, Giorgetti: “Sacrifici? Per le banche”. Ma i single avranno meno detrazioni e nel 2025 per la sanità arrivano solo 900 milioni in più","“Non ci saranno nuove tasse, mi dispiace deludere le attese. I sacrifici? Li fanno le banche, le assicurazioni e le strutture dei ministeri“. Il ministro dell’Economia Giancarlo Giorgetti, presentando in conferenza stampa a Palazzo Chigi la manovra approvata …",https://www.ilfattoquotidiano.it/2024/10/16/manovra-giorgetti-rivendica-sacrifici-banche-ma-meno-detrazioni-single-sanita-poche-risorse/7732547/,https://st.ilfattoquotidiano.it/wp-content/uploads/2024/10/16/giorgetti-1200-14-1200x630.jpg,2024-10-16T11:15:02Z,"“Non ci saranno nuove tasse, mi dispiace deludere le attese. I sacrifici? Li fanno le banche, le assicurazioni e le strutture dei ministeri“. Il ministro dellEconomia Giancarlo Giorgetti, presentando… [+4762 chars]",,Ilfattoquotidiano.it,2024-10-20 14:44:15.540950
Lincoln Carpenter,Hacker accused of manipulating Bitcoin prices with a fake SEC tweet was arrested after allegedly searching 'what are some signs the FBI is after you',"My ""I did not hack the SEC's X account"" shirt is making people ask a lot of questions already answered by my shirt.",https://www.pcgamer.com/gaming-industry/hacker-fake-sec-tweet-arrest/,https://cdn.mos.cms.futurecdn.net/ytfpYtRhtfrmim7DFv4MoT-1200-80.jpg,2024-10-17T21:56:01Z,"On January 9, 2024, a now-deleted tweet from @SECGov, the X account of the U.S. Securities and Exchange Commission, declared that the SEC had granted ""approval for Bitcoin ETFs for listing on all reg… [+3229 chars]",,PC Gamer,2024-10-20 14:44:15.540950
emily.cooke@futurenet.com (Emily Cooke),Potential health hazards of cryptocurrency mines laid bare by scientists,"Anecdotal reports suggest that cryptocurrency mines can have harmful knock-on effects on people's health, but the true scale of the problem is still unknown.",https://www.livescience.com/health/potential-health-hazards-of-cryptocurrency-mines-laid-bare-by-scientists,https://cdn.mos.cms.futurecdn.net/sozCCXu33igVZ67sK5Wr2K-1200-80.jpg,2024-10-18T13:11:36Z,"In summer 2024, several news outlets chronicled the ""nightmarish
"" impacts Texas communities endured due to the din of noise emanating from nearby cryptocurrency mines
.
Residents of these communi… [+6797 chars]",,Live Science,2024-10-20 14:44:15.540950
James Van Straten,Global Bitcoin ETPs Register Biggest Seven-Day Inflow Since July,"In the past four trading days, Bitcoin ETFs have purchased around 48 days of the mined bitcoin supply.",https://www.coindesk.com/markets/2024/10/18/global-bitcoin-etps-register-biggest-seven-day-inflow-since-july/,https://www.coindesk.com/resizer/JJbbQJPX_cEZUE3fJXj89oU4g98=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/HSRH6CX5RRBAZNAEDGZ36WFTRY.png,2024-10-18T09:22:41Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Jamie Crawley,Gold Arrives on 'Digital Gold' as Bitcoin Gets Tokenized Version of the Metal,"Bitcoin, the cryptocurrency, is often referred to as ""digital gold,"" but now it is possible to mint and trade physical gold on the Bitcoin blockchain via the Ordinals protocol – essentially encoding ownership of the yellow metal into an NFT.",https://www.coindesk.com/tech/2024/10/17/gold-arrives-on-digital-gold-as-bitcoin-gets-tokenized-version-of-the-metal/,https://www.coindesk.com/resizer/W78nQVGTe5QBh8g4_YpW4dJEtFI=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/53BS2RQO7JBRJEUCAJUFJAFC6I,2024-10-17T06:30:00Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
"CoinDesk Indices, Tracy Stephens","CoinDesk 20 Performance Update: LTC Gains 3%, Leading Index Higher","Bitcoin Cash also joined Litecoin as a top performer, gaining 2.8% since Tuesday.",https://www.coindesk.com/coindesk-indices/2024/10/16/coindesk-20-performance-update-ltc-gains-3-leading-index-higher/,https://www.coindesk.com/resizer/rMroQxIDd58Vwr0qWyEkWQkIhRc=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/526DFOIHZ5BMPLVS7AVZIKBP5U.jpg,2024-10-16T14:01:47Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
James Van Straten,"Bitcoin Tops $68K, With Dominance Over Crypto Market Hitting New Cycle High","Bitcoin dominance climbs to 58.91%, the highest level in 3.5 years, last reached in April 2021.",https://www.coindesk.com/markets/2024/10/16/bitcoin-tops-68k-with-dominance-over-crypto-market-hitting-new-cycle-high/,https://www.coindesk.com/resizer/_1Y5xVAqmSEtnOBKkyX2_v2fwQI=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/7QPDGEELRNCALGWGREENU6TUKM.png,2024-10-16T12:58:23Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Cheyenne Ligon,"NYSE, Cboe Win SEC Approval for Bitcoin ETF Options",The decision follows Nasdaq recently also getting permission for options on spot bitcoin ETFs in the U.S.,https://www.coindesk.com/policy/2024/10/18/nyse-cboe-win-sec-approval-for-bitcoin-etf-options/,https://www.coindesk.com/resizer/4oz-k7vtijFww39mzQpNqG00SPI=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/PYUMMRBTHFHOBCFKJZJ5YHQI7A.jpg,2024-10-18T21:35:01Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
James Van Straten,"Open Interest on CME Bitcoin Futures Hits All-Time High, Signals Further Bullishness","CME Bitcoin Futures Open Interest Hits All-Time High with Third-Largest Five-Day Increase, Following Two Price Surges.",https://www.coindesk.com/markets/2024/10/16/open-interest-on-cme-bitcoin-futures-hits-all-time-high-signals-further-bullishness/,https://www.coindesk.com/resizer/p8TkcS7Qyocxe-BnVT8OXvWErwY=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/YZQ7PWWAMFG7VDKCUOTY7IQGLU.jpg,2024-10-16T10:15:10Z,"Then, in October 2023, CME saw the addition of 25,115 BTC, which coincided with CME becoming the largest futures exchange for the first time, overtaking Binance. Once again, in this period, from Octo… [+71 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Gregory Mall,US Elections 2024: Brace for Impact,"With the U.S. presidential election polls showing a tense race, cryptocurrency investors are bracing for volatility. But how important is the outcome of the election for the future of crypto in the medium to long run?, poses Gregory Mall.",https://www.coindesk.com/markets/2024/10/16/us-elections-2024-brace-for-impact/,https://www.coindesk.com/resizer/jXTmnIeQ0IcAbkf1qYXjq04Gp_E=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/ALIDZMABNRCXJKWATK5Y7AO4DQ.jpg,2024-10-16T16:15:33Z,"Until President Biden dropped out of the race in July, it seemed like Trump was the clear favorite within the crypto community. In the aftermath of the failed assassination attempt on July 12th, bitc… [+886 chars]",,CoinDesk,2024-10-20 14:44:15.540950
"Jamie Crawley, Omkar Godbole",First Mover Americas: Bitcoin Moves Above $68K Amid Renewed Bullishness,"The latest price moves in bitcoin (BTC) and crypto markets in context for Oct. 16, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2024/10/16/first-mover-americas-bitcoin-moves-above-68k-amid-renewed-bullishness/,https://www.coindesk.com/resizer/m6DTkQPcBtENR86LViGKb44bx9k=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/Z5UHOOJQBFDNXCOVIMM7GLGHUQ.jpeg,2024-10-16T12:01:44Z,"BTC futures open-interest on the Chicago Mercantile Exchange has hit a new all-time high of 172,430 BTC ($11.6 billion). In the past five trading days, CME has seen open interest ramp up by 25,125 BT… [+510 chars]",,CoinDesk,2024-10-20 14:44:15.540950
James Van Straten,Ongoing Profit-Taking Could Slow Bitcoin's Move To Record High,Historical data suggests when the bitcoin circulating supply in profit is over 94% we tend to see a sell-off due to profit-taking.,https://www.coindesk.com/markets/2024/10/17/ongoing-profit-taking-could-slow-bitcoins-move-to-record-high/,https://www.coindesk.com/resizer/KHDTZSzwoN0WwHaMtLEJoRw3qYc=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/QCBZVQT4MZF4LBVYCYSOMWQEHI.png,2024-10-17T12:12:42Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Jamie Crawley,Jailhouse Block: Elvis Digital Art Collection Inscribed on the Bitcoin Network,"A digital art collection of Elvis Presley, ""Elvis Side $Btc,"" has been minted – inscribed on the Bitcoin blockchain – by OrdinalsBot and IP project Royalty.",https://www.coindesk.com/tech/2024/10/17/jailhouse-block-elvis-digital-art-collection-inscribed-on-the-bitcoin-network/,https://www.coindesk.com/resizer/MRwEyasqzgDYBKNzNe42-DGpKcY=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/KI3MA2DGVBA5FBFDCTWCTFKXZM.jpeg,2024-10-17T15:09:25Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
"Jamie Crawley, Omkar Godbole",First Mover Americas: BTC Flirts With $68K Amid ETF Inflows,"The latest price moves in bitcoin (BTC) and crypto markets in context for Oct. 18, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2024/10/18/first-mover-americas-btc-flirts-with-68k-amid-etf-inflows/,https://www.coindesk.com/resizer/sqayYidctOHfo_bCKJZAlO8MD8M=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/CUA5MPRCJNCIHFOWUDMT3Q4CQY.jpeg,2024-10-18T12:08:31Z,"Bitcoin made another attempt to establish a foothold above $68,000 early in the European morning before pulling back and trading around $67,800. BTC has gained about 1.35% in the last 24 hours, outpe… [+430 chars]",,CoinDesk,2024-10-20 14:44:15.540950
"Jamie Crawley, Omkar Godbole",First Mover Americas: Bitcoin Recedes to $67K as Crypto Market Sees Slight Dip,"The latest price moves in bitcoin (BTC) and crypto markets in context for Oct. 17, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2024/10/17/first-mover-americas-bitcoin-recedes-to-67k-as-crypto-market-sees-slight-dip/,https://www.coindesk.com/resizer/rSUF4RDgTwk04MkytxoWVNVA0uU=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/BKSDBNYQ4FFOFCJOZ5UJVC4DH4.jpeg,2024-10-17T12:01:06Z,"Bitcoin pulled back to $67,000 throughout the Asian and European mornings, showing signs of a consolidation following Wednesday's jump above $68,000. BTC was about 0.7% lower in the last 24 hours as … [+391 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Kevin Reynolds,"Editorial: We Applaud Trump’s Crypto Efforts Though His Record, Rhetoric Raise Red Flags","We applaud Former President Donald Trump for making crypto a campaign issue and wish his opponent, Vice President Kamala Harris, would say more about it.",https://www.coindesk.com/opinion/2024/10/16/editorial-we-applaud-trumps-crypto-efforts-though-his-record-rhetoric-raise-red-flags/,https://www.coindesk.com/resizer/ngUovE-rnXqL8A5UbOd45leTUlA=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/CVIH7655DNH4LNMTKP7AZFU3JE.jpg,2024-10-16T15:03:00Z,"In the years since, Trump has turned around on cryptocurrencies, but it was only this year that he really began to make it a campaign issue. In May, he said, ""I guess you could say [crypto is] a form… [+424 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Amitoj Singh,Italy to Raise Capital Gains Tax on Crypto to 42% From 26%: Reports,"Italy's Deputy Finance Minister Maurizio Leo has said the nation will raise taxes on capital gains on cryptocurrencies such as Bitcoin to 42% from 26%, according to Reuters and Bloomberg.",https://www.coindesk.com/policy/2024/10/16/italy-to-raise-capital-gains-tax-on-crypto-to-42-from-26-reports/,https://www.coindesk.com/resizer/rSW5lGV3QWGxGvSiucE5ZYSsbZo=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/WQQJBR4ILJCZHGSSTTYBJMOAY4.jpg,2024-10-16T14:32:34Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Helene Braun,"MicroStrategy's 'Nav Premium' Shouldn't be Feared, Says Benchmark, Raising Price Target to $245","Bears on MicroStrategy’s high stock price compared to the amount of its bitcoin holdings are overlooking the company’s “unique” shareholder value, investment banking firm Benchmark said in a research report on Friday.",https://www.coindesk.com/markets/2024/10/18/microstrategys-nav-premium-shouldnt-be-feared-says-benchmark-raising-price-target-to-245/,https://www.coindesk.com/resizer/NbxGZDFdlC9G2kuNWYyAdmvVEVg=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/H4NCXNY4VBBEZN4CNHK4APOVFI.jpg,2024-10-18T15:26:29Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
"Andy Baehr, Sarah Morton",Crypto for Advisors: Bitcoin’s Price,Bitcoin began to gain wider attention in the October 2023 rally when it became more clear that so-called “spot” ETFs would be approved and launched soon. The launch of 11 ETFs on Jan. 11 was a milestone for the digital asset world and broke ETF records.,https://www.coindesk.com/opinion/2024/10/17/crypto-for-advisors-bitcoins-price/,https://www.coindesk.com/resizer/nyh7T1ykDzAutqu4TwFiZvy-XDc=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/IIUY2QWS5FARXK3W4QEPEKGHTI.jpg,2024-10-17T15:00:00Z,"As the U.S. election looms, more macroeconomic data comes in to contour expectations for the Feds pace of easing, and other factors such as geo-political events in the Middle East jolt markets, folks… [+751 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Shaurya Malwa,Four Reasons Elon Musk’s Tesla May Have Moved $760M of Bitcoin,"The electric carmaker moved its stash of BTC to new wallets earlier this week, sparking speculation on why it may have done so.",https://www.coindesk.com/markets/2024/10/17/four-reasons-elon-musks-tesla-may-have-moved-760m-of-bitcoin/,https://www.coindesk.com/resizer/OuLTt23TPKxZGR0Q5G3E5xS-qfU=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/DHPGNM2PWFEODIOZUX2QZ3VGCU.jpeg,2024-10-17T13:47:25Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
Will Canny,U.S.-Listed Bitcoin Miners Hit Record 29% of Network Hashrate in October: JPMorgan,"The network hashrate has risen 4% so far this month, while the hashprice is up less than 1%, the report said.",https://www.coindesk.com/markets/2024/10/16/us-listed-bitcoin-miners-hit-record-29-of-network-hashrate-in-october-jpmorgan/,https://www.coindesk.com/resizer/E475nhNdf7VLO2frKpe8G05tfgg=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/4V3PLAJWKND5ZJLKFCDRGFKAHA.jpg,2024-10-16T13:11:19Z,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhave been updated.
CoinDesk is anaward-winningmedia outlet that covers the cryptocurrency industry. Its… [+457 chars]",,CoinDesk,2024-10-20 14:44:15.540950
